index,price
0,238588.533333
1,323192.666667
2,324038.133333
3,286800.2
4,304209.033333
5,361835.933333
6,306018.133333
7,290239.866667
8,307650.133333
9,370850.466667
10,295305.866667
11,310571.8
12,329854.4
13,306018.133333
14,331457.933333
15,294199.233333
16,371406.966667
17,308193.3
18,305587.0
19,320398.466667
20,324599.366667
21,290822.433333
22,295722.366667
23,323667.4
24,336182.033333
25,297817.333333
26,285143.066667
27,335412.4
28,283135.3
29,281039.466667
30,282346.933333
31,363355.2
32,299147.866667
33,506440.233333
34,462593.0
35,417333.466667
36,433004.133333
37,436509.333333
38,445809.0
39,436481.733333
40,445847.733333
41,548261.0
42,443846.133333
43,412058.4
44,424005.4
45,488327.4
46,675864.0
47,715432.9
48,707882.933333
49,851654.466667
50,646737.233333
51,533192.4
52,678185.333333
53,667943.033333
54,823102.933333
55,747191.2
56,228526.5
57,291012.8
58,292350.133333
59,284124.4
60,380747.866667
61,292984.3
62,311644.666667
63,287088.0
64,324317.966667
65,270589.733333
66,323382.7
67,334344.066667
68,284652.0
69,303327.6
70,298803.333333
71,310041.666667
72,298803.333333
73,298803.333333
74,305397.166667
75,285129.6
76,303446.0
77,274786.6
78,295288.5
79,302929.0
80,297702.166667
81,309502.5
82,296039.5
83,289997.333333
84,293696.533333
85,341472.6
86,308034.0
87,299676.0
88,685861.133333
89,426505.866667
90,388921.866667
91,416064.133333
92,422595.866667
93,386064.466667
94,564947.466667
95,421369.433333
96,386628.666667
97,400033.3
98,384980.4
99,369731.6
100,433503.2
101,409937.266667
102,375477.2
103,378949.2
104,375477.2
105,487375.0
106,367469.333333
107,383754.533333
108,398490.0
109,404451.0
110,353864.0
111,495705.0
112,566505.333333
113,802002.133333
114,645670.2
115,593223.7
116,465108.0
117,604121.8
118,600825.166667
119,589979.0
120,621264.666667
121,560555.6
122,724448.6
123,673339.333333
124,702467.0
125,672568.466667
126,398551.466667
127,339161.6
128,284534.666667
129,545893.6
130,531840.4
131,507458.0
132,491150.8
133,499778.966667
134,529847.1
135,491150.8
136,467384.4
137,623800.8
138,809251.166667
139,746457.066667
140,703356.866667
141,790845.133333
142,876252.0
143,656615.0
144,747344.4
145,730668.0
146,858781.733333
147,869692.8
148,282067.133333
149,275376.7
150,291900.233333
151,283422.1
152,275756.366667
153,277521.6
154,286183.8
155,274662.033333
156,287070.433333
157,285569.633333
158,282090.1
159,285314.4
160,287099.266667
161,262860.8
162,267820.8
163,265262.0
164,282171.766667
165,306405.333333
166,281776.133333
167,291479.266667
168,289766.2
169,282665.733333
170,422275.5
171,490594.033333
172,413746.666667
173,391523.333333
174,369787.6
175,404838.066667
176,451013.333333
177,454982.666667
178,416163.6
179,446374.933333
180,453515.8
181,348759.6
182,372547.566667
183,449959.733333
184,427766.266667
185,433386.0
186,436599.066667
187,409294.533333
188,454584.9
189,457454.2
190,543572.333333
191,693258.166667
192,661450.0
193,740832.0
194,280965.8
195,215666.533333
196,210649.266667
197,263680.5
198,357125.033333
199,358345.033333
200,442335.2
201,314896.766667
202,591113.8
203,361508.333333
204,348004.7
205,326464.666667
206,318069.1
207,352408.333333
208,351437.466667
209,559333.133333
210,650941.866667
211,650941.866667
212,325369.8
213,301621.666667
214,333920.166667
215,387851.433333
216,347759.033333
217,371572.433333
218,306815.733333
219,530574.533333
220,305598.366667
221,547878.933333
222,572131.466667
223,547592.5
224,587073.333333
225,797546.8
226,404590.066667
227,470148.3
228,610903.3
229,687453.0
230,739939.166667
231,709633.833333
232,618233.333333
233,556593.333333
234,533593.866667
235,729105.0
236,705610.0
237,431907.666667
238,662910.0
239,751370.833333
240,662910.0
241,662910.0
242,793928.333333
243,593484.333333
244,747260.0
245,629544.4
246,772849.466667
247,726730.533333
248,735777.9
249,284773.0
250,276173.6
251,285099.066667
252,316095.733333
253,356573.333333
254,380766.666667
255,341990.9
256,350989.6
257,340658.933333
258,349237.8
259,362072.8
260,333889.166667
261,356354.933333
262,455499.9
263,345015.666667
264,356470.4
265,348524.8
266,357310.8
267,400392.9
268,347034.566667
269,358273.066667
270,373642.966667
271,359811.0
272,354885.0
273,362139.0
274,422840.0
275,466338.033333
276,444283.333333
277,474798.8
278,408085.933333
279,436166.266667
280,526224.966667
281,493978.0
282,536643.066667
283,526224.966667
284,509996.0
285,530386.866667
286,543018.666667
287,406377.933333
288,408232.0
289,597147.1
290,474843.2
291,582235.866667
292,581513.133333
293,523869.666667
294,677903.2
295,842000.0
296,946337.933333
297,271854.0
298,426415.0
299,491946.0
300,399705.6
301,446248.466667
302,494931.2
303,663057.466667
304,792186.0
305,910271.0
306,794269.6
307,1068280.5
308,272389.766667
309,277689.566667
310,277964.533333
311,421750.6
312,412619.9
313,337785.066667
314,326327.733333
315,362412.266667
316,357125.6
317,330997.333333
318,376413.066667
319,362204.266667
320,345248.8
321,359004.533333
322,357276.5
323,315825.0
324,333257.6
325,403311.6
326,405110.8
327,352033.0
328,416860.766667
329,347718.0
330,363022.466667
331,358318.866667
332,331531.2
333,322678.4
334,313751.733333
335,421279.1
336,420384.0
337,401217.8
338,399989.333333
339,402284.666667
340,387097.333333
341,408983.666667
342,425955.6
343,496363.366667
344,415267.733333
345,465938.733333
346,527443.4
347,556240.3
348,548165.7
349,567743.4
350,549861.866667
351,513387.0
352,393111.333333
353,360879.866667
354,407482.6
355,440588.733333
356,361645.9
357,346097.333333
358,392963.133333
359,348091.8
360,345862.933333
361,301493.3
362,294045.133333
363,287800.933333
364,287800.933333
365,285808.6
366,360338.066667
367,539539.866667
368,649629.0
369,523817.333333
370,483383.333333
371,562164.633333
372,434993.033333
373,424287.5
374,463314.366667
375,421761.733333
376,417511.1
377,600903.2
378,557282.533333
379,218878.733333
380,213766.0
381,212933.0
382,261029.6
383,257896.0
384,254752.0
385,255426.0
386,257873.266667
387,262763.6
388,267386.033333
389,239534.166667
390,268013.666667
391,239814.4
392,306110.4
393,462972.0
394,282474.3
395,403825.4
396,351966.333333
397,333073.0
398,263099.733333
399,310206.4
400,305124.266667
401,511166.333333
402,513752.633333
403,539806.933333
404,461982.733333
405,494731.466667
406,459435.0
407,365176.0
408,807760.0
409,766099.466667
410,606607.3
411,258427.933333
412,279512.833333
413,264221.2
414,296114.766667
415,278804.033333
416,283351.466667
417,291907.833333
418,282967.8
419,296843.5
420,265204.0
421,278890.666667
422,261208.0
423,293691.6
424,289408.733333
425,283466.666667
426,278813.866667
427,381787.733333
428,399938.933333
429,436673.433333
430,358251.833333
431,352954.0
432,355796.3
433,347268.2
434,390776.533333
435,380710.4
436,341862.733333
437,387537.5
438,410040.8
439,413371.0
440,325694.5
441,364676.0
442,397243.533333
443,465712.0
444,408636.8
445,388258.5
446,396600.0
447,395657.4
448,441586.8
449,398514.133333
450,428036.0
451,457508.333333
452,429828.666667
453,546912.0
454,509815.466667
455,586218.266667
456,503128.0
457,495511.133333
458,554160.133333
459,609280.5
460,472816.5
461,477125.133333
462,436844.0
463,465362.833333
464,436770.933333
465,467632.733333
466,490350.533333
467,484656.0
468,473553.666667
469,450312.0
470,456520.0
471,604072.0
472,719617.6
473,713758.633333
474,611856.666667
475,610565.0
476,583420.4
477,316495.533333
478,312050.6
479,315234.4
480,305796.933333
481,306538.4
482,297013.233333
483,300548.6
484,291927.933333
485,281980.666667
486,279348.533333
487,278428.266667
488,296110.233333
489,274058.4
490,259404.0
491,271560.0
492,247627.533333
493,420215.466667
494,400359.0
495,508336.666667
496,438100.0
497,429257.5
498,394371.466667
499,386440.6
500,470622.933333
501,465774.533333
502,508837.2
503,418851.0
504,467183.333333
505,481312.133333
506,559248.0
507,598712.0
508,539174.166667
509,547622.266667
510,498657.9
511,530908.8
512,238244.533333
513,242985.6
514,251166.933333
515,242155.666667
516,246633.766667
517,269821.5
518,256127.6
519,248838.0
520,274756.266667
521,331890.0
522,323254.2
523,296854.666667
524,336049.666667
525,296854.666667
526,309418.666667
527,322638.633333
528,279407.5
529,274626.0
530,271890.933333
531,277640.9
532,275295.166667
533,246296.466667
534,381442.8
535,407127.466667
536,374851.333333
537,393429.1
538,360165.0
539,373623.466667
540,362897.6
541,431900.8
542,436775.166667
543,341201.333333
544,401798.4
545,365244.866667
546,369070.8
547,364503.266667
548,371356.266667
549,419974.1
550,424266.666667
551,407725.166667
552,400466.166667
553,401158.333333
554,424361.833333
555,421209.0
556,441398.533333
557,397185.266667
558,447104.233333
559,427979.066667
560,431133.733333
561,412123.833333
562,421800.166667
563,398643.7
564,365175.2
565,369186.0
566,366439.833333
567,364816.5
568,349180.233333
569,381967.666667
570,338605.066667
571,358958.4
572,339684.8
573,347745.6
